Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,,,,,133,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",TOTAL,,,,,133,,98,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,152,519,,0,2034,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14a,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,"Under this category, we consider member state orders for: Threat To Kill and Content Relating to Violent or Organised Crime.",TOTAL,152,519,,1,498,,115,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14d,KEYWORD_HUMAN_TRAFFICKING,"Under this category, we consider member state orders for: Human Exploitation Trafficking and Kidnapping.",TOTAL,,,,,116,,123,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,,,,,,,,,,,,,,
