Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",DE,,,,,292,,140,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",DK,,,,,4,,36,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",EE,,,,,2,,421,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",ES,,,,,59,,247,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",FI,,,,,6,,153,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",FR,,,,,94,,123,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",GR,,,,,7,,189,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",HR,,,,,1,,102,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",HU,,,,,4,,433,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",IT,,,,,35,,172,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",LT,,,,,1,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",MT,,,,,1,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",NL,,,,,12,,69,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",PL,,,,,10,,984,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",PT,,,,,10,,334,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",RO,,,,,29,,287,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",SE,,,,,28,,143,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",AT,2,2,,46,59,,148,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",BE,0,0,,0,37,,146,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",BG,1,1,,54,30,,185,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",CZ,0,0,,0,5,,74,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",DE,2,2,,36,467,,123,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",DK,0,0,,0,4,,99,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",EE,1,1,,2,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",ES,0,0,,0,142,,192,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",FI,0,0,,0,8,,62,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",FR,9,9,,2,197,,147,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",GR,2,3,,0,20,,158,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",HR,0,0,,0,2,,122,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",HU,0,0,,0,4,,1067,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",IE,0,0,,0,4,,454,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",IT,2,2,,24,77,,268,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",LT,1,1,,3,2,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",LV,0,0,,0,1,,8,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",MT,0,0,,0,5,,73,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",NL,0,0,,0,31,,153,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",PL,1,1,,40,40,,171,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",PT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",RO,4,9,,2,34,,125,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",SE,5,6,,1,25,,146,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,BE,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,BG,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,DE,,,,,14,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,ES,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,FI,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,FR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,GR,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,HU,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,IT,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,NL,,,,,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,PL,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,RO,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,SE,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",BE,,,,,1,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",BG,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",DE,,,,,14,,41,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",ES,,,,,2,,400,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",FI,,,,,1,,46,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",FR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",GR,,,,,1,,221,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",HU,,,,,1,,128,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",IT,,,,,1,,74,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",NL,,,,,5,,62,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",PL,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",RO,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",SE,,,,,1,,26,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,BE,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,BG,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,DE,,,,,86,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,ES,,,,,9,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,FI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,FR,,,,,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,GR,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,IE,,,,,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,IT,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,NL,,,,,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,PL,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,RO,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,SE,,,,,16,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,SK,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",BE,,,,,2,,34,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",BG,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",DE,,,,,86,,77,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",ES,,,,,9,,231,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",FI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",FR,,,,,8,,204,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",GR,,,,,2,,876,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",IE,,,,,4,,93,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",IT,,,,,1,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",NL,,,,,4,,184,,,,,,,
